epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3056,1.58528,4.52435,1.18596,0.01434,0.1533,0.0272,0.01901,1.22281,4.21692,0.96545,7.056e-05,7.056e-05,7.056e-05
2,6.51767,1.25027,3.57856,0.98769,0.01776,0.61658,0.14168,0.09576,1.03444,3.95526,0.89285,0.000142149,0.000142149,0.000142149
3,8.53514,1.22751,2.78462,0.98496,0.47523,0.16373,0.25962,0.17543,1.01059,3.45138,0.88518,0.000208693,0.000208693,0.000208693
4,10.5479,1.17863,2.16303,0.9548,0.84295,0.10991,0.3877,0.27484,1.00141,3.06775,0.90158,0.000270192,0.000270192,0.000270192
5,12.5022,1.08764,1.79112,0.93867,0.88334,0.11844,0.47197,0.33532,1.01457,2.89128,0.92111,0.000326646,0.000326646,0.000326646
6,14.4451,1.05944,1.61585,0.94035,0.9282,0.13194,0.59776,0.43931,0.9882,2.57155,0.927,0.000378055,0.000378055,0.000378055
7,16.3611,1.03137,1.45197,0.93018,0.79615,0.28139,0.66869,0.49401,0.9682,2.40545,0.9228,0.000424418,0.000424418,0.000424418
8,18.3059,1.03481,1.41022,0.92867,0.85085,0.38707,0.68423,0.4859,0.99508,2.26258,0.92848,0.000452172,0.000452172,0.000452172
9,20.26,0.98652,1.32014,0.90859,0.79639,0.52227,0.7128,0.52822,0.94943,1.86684,0.92175,0.000432768,0.000432768,0.000432768
10,22.3732,0.98349,1.25729,0.91853,0.81855,0.66568,0.80413,0.59301,0.95298,1.68133,0.9224,0.000413364,0.000413364,0.000413364
11,24.2784,0.93859,1.16261,0.89937,0.85844,0.72067,0.86936,0.64627,0.93357,1.35674,0.92024,0.00039396,0.00039396,0.00039396
12,26.2004,0.93045,1.1297,0.90049,0.85107,0.83592,0.92348,0.68337,0.91101,1.09472,0.91204,0.000374556,0.000374556,0.000374556
13,28.1033,0.95308,1.06351,0.89603,0.86595,0.86549,0.93768,0.69325,0.91795,0.94712,0.91193,0.000355152,0.000355152,0.000355152
14,30.0627,0.89711,1.02331,0.89807,0.91158,0.89639,0.95352,0.71647,0.92537,0.88168,0.9286,0.000335748,0.000335748,0.000335748
15,32.0102,0.90662,0.97245,0.90031,0.90138,0.91032,0.95587,0.74168,0.85574,0.77544,0.90784,0.000316344,0.000316344,0.000316344
16,33.9606,0.88498,0.94494,0.8961,0.92207,0.91676,0.96113,0.74987,0.82911,0.82953,0.89928,0.00029694,0.00029694,0.00029694
17,35.9487,0.86606,0.91865,0.88855,0.95692,0.91952,0.96807,0.75407,0.83359,0.74525,0.89998,0.000277536,0.000277536,0.000277536
18,37.8462,0.86889,0.90421,0.89202,0.95686,0.92594,0.96656,0.74675,0.84991,0.7266,0.90308,0.000258132,0.000258132,0.000258132
19,39.7763,0.82909,0.82771,0.88577,0.95936,0.9269,0.96598,0.75423,0.84705,0.66982,0.90351,0.000238728,0.000238728,0.000238728
20,41.7354,0.85229,0.8277,0.88524,0.9412,0.95049,0.96616,0.7336,0.91683,0.63663,0.92231,0.000219324,0.000219324,0.000219324
21,64.9887,0.85629,0.86974,0.91485,0.94734,0.94486,0.96828,0.76489,0.82122,0.66338,0.8953,0.00019992,0.00019992,0.00019992
22,67.0105,0.81297,0.82579,0.89817,0.93763,0.92211,0.96463,0.73486,0.87522,0.68295,0.91404,0.000180516,0.000180516,0.000180516
23,68.8992,0.78973,0.77523,0.88998,0.93303,0.95108,0.97033,0.76118,0.83027,0.65549,0.90078,0.000161112,0.000161112,0.000161112
24,70.7874,0.8292,0.78309,0.90187,0.94817,0.9285,0.97123,0.75815,0.85208,0.61104,0.90891,0.000141708,0.000141708,0.000141708
25,72.6778,0.79024,0.75878,0.88218,0.96618,0.95424,0.97449,0.7748,0.79538,0.56966,0.88664,0.000122304,0.000122304,0.000122304
26,74.5083,0.78623,0.73178,0.87652,0.96724,0.94586,0.97616,0.76615,0.82223,0.57277,0.89549,0.0001029,0.0001029,0.0001029
27,76.3408,0.79409,0.74097,0.89784,0.95759,0.95949,0.97504,0.76093,0.84283,0.57676,0.90476,8.3496e-05,8.3496e-05,8.3496e-05
28,78.2252,0.78126,0.73242,0.88075,0.96292,0.963,0.97374,0.77397,0.80094,0.55666,0.89283,6.4092e-05,6.4092e-05,6.4092e-05
29,80.073,0.77032,0.7058,0.88208,0.96424,0.96393,0.97426,0.76245,0.81889,0.5539,0.89785,4.4688e-05,4.4688e-05,4.4688e-05
30,81.9615,0.76022,0.71031,0.87926,0.97065,0.95435,0.97451,0.77119,0.79986,0.54629,0.89232,2.5284e-05,2.5284e-05,2.5284e-05
